Entry Point,Size,Module Name,Reference
0,1,(Reserved: not a valid SID),[RFC9595]
1000,100,ietf-coreconf,[RFC9595][draft-ietf-core-comi-16]
1100,50,ietf-yang-types,[RFC9911]
1150,50,ietf-inet-types,[RFC9911]
1200,50,iana-crypt-hash,[RFC7317]
1250,50,ietf-netconf-acm,[RFC8341]
1300,50,ietf-sid-file,[RFC9595]
1500,100,ietf-interfaces,[RFC8343]
1600,100,ietf-ip,[RFC8344]
1700,100,ietf-system,[RFC7317]
1800,400,iana-if-type,[RFC7224]
2450,50,"ietf-voucher (TEMPORARY - registered 2024-07-15, extension registered 2025-06-06, expires 2026-07-15)",[draft-ietf-anima-rfc8366bis-12]
2500,50,"ietf-voucher-request (TEMPORARY - registered 2024-07-15, extension registered 2025-06-06, expires 2026-07-15)",[draft-ietf-anima-rfc8366bis-12]
2550,400,ietf-schc,[RFC9363]
